                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.6079,                 1.1236,                 1.2278,                0.63958,                0.57037,                0.59184,                0.29108,                 1.7281,                 1.3099,                 1.3188,               0.001118,               0.001118,               0.001118
                     34,                 1.6258,                 1.1267,                 1.2348,                0.71612,                0.52869,                0.63441,                 0.3123,                 1.7435,                 1.0833,                 1.3186,              0.0011139,              0.0011139,              0.0011139
                     35,                 1.6175,                 1.1068,                 1.2253,                0.62503,                0.56545,                 0.6199,                0.32153,                 1.7976,                 1.2059,                 1.3399,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.6009,                 1.0785,                 1.2271,                0.68695,                0.63965,                0.72307,                0.36612,                 1.7521,                 1.0504,                 1.3514,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.6144,                 1.0575,                   1.22,                0.64126,                0.56515,                0.60619,                0.30165,                 1.7411,                 1.2329,                 1.2988,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.5889,                 1.0322,                 1.2173,                0.63079,                0.66894,                 0.6555,                0.31644,                 1.7311,                  1.177,                 1.3255,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.5897,                 1.0629,                 1.2122,                0.75825,                0.58661,                0.64756,                0.32996,                 1.7841,                 1.1073,                 1.3618,              0.0010933,              0.0010933,              0.0010933
                     40,                  1.575,                 1.0219,                 1.2117,                0.56967,                0.53719,                0.56382,                0.28365,                 1.8025,                 1.2831,                 1.3403,              0.0010891,              0.0010891,              0.0010891
                     41,                 1.5934,                 1.0163,                 1.2223,                0.61024,                0.54405,                0.59483,                0.31301,                 1.8397,                 1.2283,                 1.3972,               0.001085,               0.001085,               0.001085
                     42,                 1.5593,                  1.023,                 1.1992,                0.67338,                0.62996,                0.68766,                0.35655,                  1.755,                 1.0137,                 1.3499,              0.0010809,              0.0010809,              0.0010809
                     43,                 1.5637,                0.99658,                 1.2117,                0.69693,                0.56256,                0.66223,                0.33591,                  1.805,                 1.0931,                  1.376,              0.0010768,              0.0010768,              0.0010768
                     44,                 1.5611,                 1.0012,                 1.2039,                0.62719,                0.68737,                0.68061,                 0.3498,                 1.6943,                 1.0842,                 1.2755,              0.0010726,              0.0010726,              0.0010726
                     45,                 1.5549,                 0.9807,                 1.2044,                0.66204,                0.60682,                0.66998,                0.33621,                 1.7615,                 1.0543,                 1.3718,              0.0010685,              0.0010685,              0.0010685
                     46,                 1.5528,                0.96384,                 1.2078,                0.70349,                0.63434,                 0.6961,                0.38199,                 1.7488,                 1.0169,                 1.3429,              0.0010644,              0.0010644,              0.0010644
                     47,                 1.5532,                0.99001,                 1.2037,                0.66419,                0.70556,                0.73092,                0.36313,                 1.7753,                0.97946,                 1.3543,              0.0010603,              0.0010603,              0.0010603
                     48,                 1.5492,                 0.9482,                 1.1951,                0.78662,                0.59439,                0.68994,                0.36191,                  1.718,                 1.0302,                 1.3215,              0.0010561,              0.0010561,              0.0010561
                     49,                 1.5384,                0.95587,                 1.1978,                0.72789,                0.68218,                0.72828,                0.37256,                 1.7253,                0.94593,                 1.3298,               0.001052,               0.001052,               0.001052
                     50,                 1.5501,                0.95362,                 1.1968,                0.72838,                0.66403,                0.75268,                 0.4067,                 1.7152,                0.93089,                 1.3082,              0.0010479,              0.0010479,              0.0010479
                     51,                 1.5262,                0.91978,                 1.1924,                0.80726,                0.66953,                0.76165,                0.39537,                  1.723,                0.89218,                  1.307,              0.0010438,              0.0010438,              0.0010438
                     52,                 1.5473,                0.91663,                 1.1967,                0.81833,                0.62906,                0.74838,                0.39642,                 1.7068,                0.90174,                 1.2955,              0.0010396,              0.0010396,              0.0010396
                     53,                 1.5166,                 0.9225,                  1.189,                0.69557,                0.67981,                0.74168,                0.39469,                 1.7534,                0.98219,                  1.332,              0.0010355,              0.0010355,              0.0010355
                     54,                 1.4949,                0.88691,                 1.1739,                0.70155,                0.65508,                0.68959,                0.35726,                 1.7297,                0.93664,                 1.3085,              0.0010314,              0.0010314,              0.0010314
                     55,                 1.4916,                0.88919,                 1.1731,                0.75154,                0.71176,                0.76787,                0.40024,                 1.7946,                0.89838,                  1.355,              0.0010273,              0.0010273,              0.0010273
                     56,                 1.4986,                0.88812,                 1.1824,                 0.7079,                0.67547,                 0.7152,                0.37511,                 1.7594,                0.91161,                 1.3454,              0.0010231,              0.0010231,              0.0010231
                     57,                 1.5054,                0.89422,                 1.1787,                0.73448,                 0.6924,                0.69863,                0.36928,                 1.7292,                0.98966,                 1.3094,               0.001019,               0.001019,               0.001019
                     58,                 1.5091,                0.87309,                 1.1803,                0.70536,                0.67486,                0.72823,                0.37676,                  1.726,                0.90324,                 1.3351,              0.0010149,              0.0010149,              0.0010149
                     59,                  1.474,                0.85583,                 1.1683,                0.81589,                0.76869,                0.82008,                0.41743,                  1.702,                0.84327,                 1.3111,              0.0010107,              0.0010107,              0.0010107
                     60,                 1.4916,                0.85005,                 1.1658,                0.62593,                0.84008,                0.76363,                0.37427,                 1.6985,                0.90833,                 1.2928,              0.0010066,              0.0010066,              0.0010066
                     61,                 1.4565,                0.85435,                 1.1596,                 0.7168,                0.72948,                0.71235,                 0.3676,                  1.685,                 0.8903,                 1.3066,              0.0010025,              0.0010025,              0.0010025
                     62,                 1.4755,                0.86585,                 1.1711,                 0.7447,                0.75663,                0.78653,                0.42058,                 1.6818,                0.82417,                 1.2898,             0.00099837,             0.00099837,             0.00099837
                     63,                 1.4726,                0.84895,                 1.1595,                0.77514,                 0.7373,                0.77701,                0.41671,                 1.7002,                0.82275,                 1.3161,             0.00099425,             0.00099425,             0.00099425
                     64,                 1.4873,                0.86984,                 1.1819,                0.76053,                 0.6713,                0.77414,                0.40629,                 1.6757,                0.84155,                 1.3071,             0.00099013,             0.00099013,             0.00099013
                     65,                 1.4691,                0.84802,                 1.1636,                0.79474,                0.72592,                0.80191,                0.41589,                 1.6749,                0.87202,                  1.284,               0.000986,               0.000986,               0.000986
                     66,                 1.4615,                0.82544,                 1.1415,                0.87392,                0.73885,                0.85131,                0.44096,                 1.6796,                0.79991,                  1.289,             0.00098187,             0.00098187,             0.00098187
                     67,                 1.4481,                 0.8065,                 1.1514,                0.82073,                0.76224,                0.78465,                0.41314,                 1.7101,                0.82441,                 1.3296,             0.00097775,             0.00097775,             0.00097775
                     68,                 1.4277,                0.80366,                 1.1548,                0.72805,                 0.7479,                0.78977,                0.41626,                 1.6885,                0.80933,                 1.3203,             0.00097362,             0.00097362,             0.00097362
                     69,                  1.453,                0.79927,                 1.1503,                0.85644,                0.71429,                0.82582,                0.42894,                 1.6768,                0.83626,                 1.3001,              0.0009695,              0.0009695,              0.0009695
                     70,                 1.4326,                0.81507,                 1.1474,                0.75492,                0.82925,                0.81091,                0.41035,                 1.6688,                0.80269,                 1.3072,             0.00096537,             0.00096537,             0.00096537
