                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                 1.1721,                0.57584,                 1.0295,                0.91338,                0.82487,                0.91469,                0.51138,                  1.535,                0.64684,                 1.2509,             0.00062713,             0.00062713,             0.00062713
                    153,                 1.1631,                0.58234,                  1.034,                0.93589,                0.84865,                0.90052,                0.52234,                 1.5505,                0.62769,                 1.2735,               0.000623,               0.000623,               0.000623
                    154,                 1.1685,                0.58811,                  1.031,                0.92079,                0.85009,                0.90592,                0.51597,                 1.5525,                0.62708,                 1.2558,             0.00061887,             0.00061887,             0.00061887
                    155,                 1.1562,                0.58718,                 1.0208,                0.93679,                0.86521,                0.91891,                0.51589,                 1.5516,                0.62469,                 1.2647,             0.00061475,             0.00061475,             0.00061475
                    156,                 1.1459,                0.57375,                 1.0237,                0.89195,                0.83563,                0.89645,                0.50027,                 1.5524,                0.64179,                 1.2664,             0.00061062,             0.00061062,             0.00061062
                    157,                 1.1536,                0.57958,                 1.0326,                0.92639,                0.83958,                 0.9226,                 0.4899,                 1.5391,                0.62717,                 1.2659,              0.0006065,              0.0006065,              0.0006065
                    158,                 1.1541,                0.58307,                 1.0256,                0.93853,                0.82193,                0.92105,                0.47866,                 1.5825,                0.65294,                 1.2874,             0.00060238,             0.00060238,             0.00060238
                    159,                 1.1431,                 0.5729,                 1.0232,                0.83705,                0.83637,                0.87883,                0.47754,                 1.5663,                0.65265,                 1.2867,             0.00059825,             0.00059825,             0.00059825
                    160,                 1.1305,                0.57133,                 1.0147,                0.87638,                 0.7994,                0.89109,                0.48946,                  1.552,                0.64592,                 1.2652,             0.00059413,             0.00059413,             0.00059413
                    161,                  1.139,                0.57683,                 1.0231,                 0.8634,                0.90003,                0.91959,                0.51031,                 1.5185,                0.61147,                 1.2545,                0.00059,                0.00059,                0.00059
                    162,                 1.1354,                0.57326,                 1.0227,                0.86053,                0.85052,                0.90269,                0.49334,                 1.5417,                0.63072,                 1.2588,             0.00058588,             0.00058588,             0.00058588
                    163,                 1.1205,                0.56445,                  1.013,                0.85728,                0.85534,                0.89652,                0.50398,                 1.5593,                0.63576,                 1.2692,             0.00058175,             0.00058175,             0.00058175
                    164,                 1.1247,                0.56077,                 1.0174,                 0.8584,                0.91835,                0.92773,                0.52009,                 1.5566,                 0.6256,                 1.2719,             0.00057763,             0.00057763,             0.00057763
                    165,                 1.1455,                0.57591,                 1.0289,                0.90091,                0.91271,                0.93509,                0.52788,                 1.5309,                0.61582,                 1.2594,              0.0005735,              0.0005735,              0.0005735
                    166,                 1.1284,                0.56608,                 1.0171,                0.91024,                0.88995,                0.93059,                0.53358,                 1.5632,                0.62398,                 1.2673,             0.00056938,             0.00056938,             0.00056938
                    167,                 1.1209,                0.57262,                 1.0109,                0.91531,                0.86196,                0.93355,                0.50807,                 1.5404,                0.61185,                 1.2719,             0.00056525,             0.00056525,             0.00056525
                    168,                 1.1231,                 0.5651,                 1.0159,                0.92393,                 0.8574,                0.92873,                0.50544,                 1.5359,                0.60627,                 1.2605,             0.00056112,             0.00056112,             0.00056112
                    169,                 1.1301,                0.56072,                 1.0118,                0.87994,                0.88023,                 0.9248,                0.50711,                 1.5668,                0.61574,                 1.2636,               0.000557,               0.000557,               0.000557
                    170,                 1.1126,                0.55323,                 1.0028,                0.94544,                0.84371,                0.92119,                0.50595,                 1.5252,                0.61391,                 1.2512,             0.00055287,             0.00055287,             0.00055287
                    171,                 1.1202,                0.56013,                 1.0117,                0.91675,                0.85874,                0.91484,                0.51843,                 1.5388,                0.60968,                 1.2716,             0.00054875,             0.00054875,             0.00054875
                    172,                 1.1107,                0.55573,                 1.0137,                0.87114,                0.82338,                0.90653,                0.52034,                 1.5271,                0.61642,                 1.2596,             0.00054463,             0.00054463,             0.00054463
                    173,                 1.1188,                0.55614,                 1.0157,                0.93709,                0.85045,                0.93309,                0.52022,                 1.5167,                0.61546,                  1.259,              0.0005405,              0.0005405,              0.0005405
                    174,                  1.092,                0.55228,                 1.0049,                0.93301,                0.86959,                0.92943,                0.53846,                 1.5178,                0.61222,                 1.2699,             0.00053638,             0.00053638,             0.00053638
                    175,                 1.1061,                 0.5584,                 1.0134,                0.93493,                0.85112,                0.92882,                0.51408,                 1.5208,                0.60877,                 1.2654,             0.00053225,             0.00053225,             0.00053225
                    176,                 1.0806,                 0.5342,                0.99015,                0.91642,                 0.8592,                0.92062,                0.51128,                 1.5343,                0.61493,                  1.274,             0.00052812,             0.00052812,             0.00052812
                    177,                 1.0789,                0.54547,                 1.0015,                0.90142,                0.86136,                0.92826,                0.51467,                 1.5249,                0.60929,                 1.2573,               0.000524,               0.000524,               0.000524
                    178,                 1.0833,                0.54476,                  1.002,                0.86979,                0.87999,                0.90784,                0.51812,                 1.5211,                0.61474,                 1.2593,             0.00051988,             0.00051988,             0.00051988
                    179,                 1.0885,                0.54841,                 1.0042,                0.86052,                0.87491,                0.89237,                0.50155,                 1.5617,                0.61944,                 1.2935,             0.00051575,             0.00051575,             0.00051575
                    180,                 1.0792,                0.54447,                0.99931,                0.88402,                0.84224,                0.89989,                0.51265,                 1.5297,                0.61606,                 1.2541,             0.00051163,             0.00051163,             0.00051163
                    181,                 1.0678,                0.53097,                0.99626,                 0.8845,                0.85105,                 0.9095,                0.51972,                 1.5292,                0.61248,                 1.2481,              0.0005075,              0.0005075,              0.0005075
                    182,                 1.0778,                0.53493,                0.99084,                 0.9313,                0.83036,                0.92783,                0.50962,                 1.5303,                0.60877,                 1.2393,             0.00050337,             0.00050337,             0.00050337
                    183,                 1.0702,                0.54068,                 0.9973,                  0.933,                0.85808,                0.93191,                0.51173,                 1.5275,                0.59204,                 1.2634,             0.00049925,             0.00049925,             0.00049925
                    184,                 1.0993,                0.54316,                 1.0035,                0.93182,                0.83947,                0.92333,                0.50371,                 1.5326,                0.59635,                 1.2665,             0.00049513,             0.00049513,             0.00049513
                    185,                 1.0692,                0.54117,                0.99719,                0.90951,                0.86143,                0.92741,                0.51712,                 1.5185,                0.60131,                 1.2597,               0.000491,               0.000491,               0.000491
                    186,                 1.0549,                0.53203,                0.99161,                0.90645,                0.88659,                0.92352,                0.50342,                 1.5135,                0.59333,                 1.2656,             0.00048687,             0.00048687,             0.00048687
                    187,                 1.0611,                0.52989,                0.99506,                0.92229,                0.84744,                0.93481,                0.53039,                 1.5157,                0.59912,                 1.2534,             0.00048275,             0.00048275,             0.00048275
                    188,                 1.0802,                0.54461,                0.99189,                0.93301,                0.86166,                0.93131,                0.54064,                 1.4943,                0.59535,                 1.2462,             0.00047863,             0.00047863,             0.00047863
                    189,                 1.0684,                 0.5397,                0.99178,                0.88259,                0.85798,                0.92922,                 0.5247,                 1.4973,                0.59667,                 1.2569,              0.0004745,              0.0004745,              0.0004745
                    190,                 1.0603,                0.52665,                 0.9948,                0.88216,                0.85714,                0.91624,                0.49969,                 1.5275,                0.61325,                 1.2819,             0.00047038,             0.00047038,             0.00047038
                    191,                 1.0707,                0.52981,                0.98493,                 0.9482,                0.83601,                0.93288,                0.51448,                  1.521,                0.59465,                 1.2758,             0.00046625,             0.00046625,             0.00046625
                    192,                 1.0517,                0.51935,                0.98875,                0.90884,                0.90791,                0.93622,                0.52651,                 1.5123,                 0.5955,                 1.2733,             0.00046212,             0.00046212,             0.00046212
                    193,                 1.0672,                0.53603,                0.99418,                0.93772,                  0.844,                0.92954,                0.53283,                 1.5042,                0.59854,                 1.2534,               0.000458,               0.000458,               0.000458
                    194,                 1.0559,                0.51743,                0.98682,                0.93814,                0.84667,                0.93309,                0.52287,                 1.5004,                0.60224,                 1.2443,             0.00045388,             0.00045388,             0.00045388
                    195,                 1.0517,                 0.5253,                0.98659,                0.93555,                0.85222,                0.92568,                0.52773,                   1.52,                0.61501,                 1.2671,             0.00044975,             0.00044975,             0.00044975
                    196,                 1.0471,                0.52094,                0.97958,                0.92269,                0.89046,                0.93054,                0.53045,                 1.5063,                0.59633,                 1.2505,             0.00044563,             0.00044563,             0.00044563
                    197,                 1.0542,                0.53205,                0.98264,                0.89449,                0.85593,                0.92133,                0.53361,                 1.4912,                0.59653,                 1.2553,              0.0004415,              0.0004415,              0.0004415
                    198,                 1.0661,                0.52641,                0.99901,                0.87409,                0.90975,                0.93183,                0.53655,                 1.4857,                0.58691,                 1.2613,             0.00043738,             0.00043738,             0.00043738
                    199,                 1.0403,                0.52094,                 0.9855,                0.85405,                0.92251,                0.93008,                0.53647,                 1.4768,                0.58891,                 1.2431,             0.00043325,             0.00043325,             0.00043325
                    200,                 1.0361,                0.51962,                0.98358,                0.91327,                0.85648,                0.92587,                 0.5282,                  1.478,                0.59435,                  1.249,             0.00042912,             0.00042912,             0.00042912
                    201,                 1.0261,                0.51201,                0.97931,                0.87542,                0.84873,                0.90569,                0.52761,                 1.4928,                0.60224,                 1.2583,               0.000425,               0.000425,               0.000425
                    202,                 1.0238,                 0.5076,                0.97426,                0.91909,                0.84826,                0.92641,                0.52674,                 1.4785,                0.58783,                 1.2535,             0.00042087,             0.00042087,             0.00042087
                    203,                 1.0274,                0.51492,                0.97775,                0.91017,                0.86362,                0.92738,                0.53857,                 1.4788,                0.58746,                 1.2486,             0.00041675,             0.00041675,             0.00041675
                    204,                 1.0407,                0.52324,                0.98396,                0.91264,                0.87417,                0.92401,                0.53426,                 1.4865,                0.60371,                 1.2571,             0.00041263,             0.00041263,             0.00041263
                    205,                 1.0408,                0.51616,                0.97605,                0.90532,                0.85128,                0.92196,                0.53604,                 1.4867,                0.59124,                 1.2476,              0.0004085,              0.0004085,              0.0004085
                    206,                 1.0372,                 0.5045,                0.98628,                0.89372,                0.86783,                0.93242,                0.55496,                 1.4767,                0.59007,                 1.2474,             0.00040438,             0.00040438,             0.00040438
                    207,                 1.0304,                 0.5135,                0.97824,                0.94876,                0.84618,                0.92828,                0.55653,                 1.4949,                 0.5877,                 1.2598,             0.00040025,             0.00040025,             0.00040025
                    208,                 1.0298,                0.51316,                0.98032,                0.92875,                0.84555,                0.92684,                0.54211,                 1.4877,                0.58845,                 1.2538,             0.00039613,             0.00039613,             0.00039613
                    209,                 1.0247,                 0.5085,                 0.9763,                0.89422,                0.87806,                0.93611,                0.55144,                 1.4801,                 0.5847,                 1.2458,               0.000392,               0.000392,               0.000392
                    210,                0.99321,                0.50535,                0.96899,                0.90082,                0.84207,                0.91448,                0.52828,                 1.4894,                0.59838,                 1.2589,             0.00038788,             0.00038788,             0.00038788
                    211,                 1.0187,                0.50898,                0.98106,                0.91027,                0.83614,                0.91466,                0.54136,                 1.4831,                 0.5955,                  1.248,             0.00038375,             0.00038375,             0.00038375
                    212,                 1.0253,                0.51018,                0.97666,                0.88837,                0.84512,                 0.9229,                0.53117,                 1.4868,                0.57972,                 1.2502,             0.00037962,             0.00037962,             0.00037962
                    213,                0.99766,                0.50086,                0.96758,                0.91307,                0.83949,                0.92324,                 0.5469,                 1.4819,                0.58981,                 1.2517,              0.0003755,              0.0003755,              0.0003755
                    214,                 1.0116,                0.50742,                0.97829,                0.87285,                0.88236,                0.93252,                0.54231,                 1.4951,                0.58983,                  1.268,             0.00037138,             0.00037138,             0.00037138
                    215,                0.99362,                 0.4864,                0.96978,                0.91431,                0.85412,                0.93168,                0.54386,                 1.4838,                0.58905,                 1.2562,             0.00036725,             0.00036725,             0.00036725
                    216,                0.99262,                0.49541,                0.96235,                0.88942,                0.88258,                0.92528,                0.53976,                 1.4675,                 0.5957,                 1.2525,             0.00036313,             0.00036313,             0.00036313
                    217,                 1.0048,                0.50748,                 0.9718,                0.92112,                0.85747,                0.92561,                0.53989,                 1.4636,                0.59493,                 1.2491,               0.000359,               0.000359,               0.000359
                    218,                0.99102,                0.49724,                 0.9629,                0.90461,                0.91421,                0.93329,                0.53736,                 1.4678,                0.58978,                 1.2451,             0.00035487,             0.00035487,             0.00035487
                    219,                0.99403,                0.49997,                0.96383,                0.92281,                0.84906,                0.92578,                0.53715,                 1.4667,                0.58489,                 1.2495,             0.00035075,             0.00035075,             0.00035075
                    220,                0.99264,                0.49226,                0.96673,                 0.9167,                0.84006,                0.93026,                0.53979,                 1.4691,                0.58118,                 1.2519,             0.00034663,             0.00034663,             0.00034663
                    221,                0.98196,                0.48528,                 0.9626,                0.86311,                0.90878,                 0.9336,                0.53238,                 1.4761,                0.58039,                  1.263,              0.0003425,              0.0003425,              0.0003425
                    222,                0.99123,                0.49792,                0.96765,                0.93777,                0.85119,                0.93481,                0.54179,                 1.4716,                0.57972,                  1.265,             0.00033838,             0.00033838,             0.00033838
                    223,                0.99535,                0.49956,                0.96864,                0.87575,                0.90474,                0.93252,                  0.545,                 1.4654,                0.58274,                 1.2676,             0.00033425,             0.00033425,             0.00033425
                    224,                0.97041,                0.48838,                 0.9628,                0.87591,                0.89985,                0.94162,                0.55094,                 1.4629,                0.58691,                 1.2681,             0.00033013,             0.00033013,             0.00033013
                    225,                0.98334,                0.49094,                0.96203,                0.91716,                0.85438,                0.92741,                0.54606,                 1.4602,                0.58449,                 1.2525,               0.000326,               0.000326,               0.000326
                    226,                0.98859,                0.49848,                0.96348,                0.92747,                0.84296,                0.92337,                 0.5346,                 1.4667,                 0.5903,                 1.2537,             0.00032188,             0.00032188,             0.00032188
                    227,                0.98035,                0.49134,                0.96125,                0.90539,                0.89707,                0.93374,                0.54342,                 1.4644,                0.59272,                  1.259,             0.00031775,             0.00031775,             0.00031775
                    228,                0.97209,                0.48522,                0.95806,                0.94069,                0.85776,                0.92988,                0.53854,                 1.4522,                0.58185,                 1.2499,             0.00031362,             0.00031362,             0.00031362
                    229,                0.97377,                 0.4924,                0.95918,                0.93672,                0.84789,                0.92498,                0.54111,                 1.4611,                0.58562,                 1.2519,              0.0003095,              0.0003095,              0.0003095
                    230,                0.95579,                0.48999,                0.95178,                0.93504,                0.83988,                0.93202,                0.54196,                 1.4618,                0.58602,                 1.2599,             0.00030538,             0.00030538,             0.00030538
                    231,                0.97566,                0.49145,                0.95729,                0.93071,                0.87844,                0.93589,                0.54174,                 1.4647,                0.58257,                 1.2616,             0.00030125,             0.00030125,             0.00030125
                    232,                0.96808,                  0.487,                0.95338,                0.91309,                0.85402,                0.92331,                0.54628,                 1.4756,                0.59382,                 1.2606,             0.00029713,             0.00029713,             0.00029713
                    233,                0.96306,                0.48194,                0.95448,                0.88976,                 0.8531,                0.91868,                0.53114,                 1.4894,                0.58696,                  1.279,               0.000293,               0.000293,               0.000293
                    234,                0.95957,                0.47526,                0.96101,                0.91623,                0.83689,                 0.9187,                0.54043,                 1.4584,                   0.58,                 1.2593,             0.00028888,             0.00028888,             0.00028888
                    235,                0.95728,                 0.4738,                0.95697,                0.91919,                0.85604,                0.91959,                0.54233,                 1.4581,                0.58373,                 1.2509,             0.00028475,             0.00028475,             0.00028475
                    236,                0.97414,                0.48512,                0.95629,                0.93451,                0.84744,                0.91799,                0.55072,                 1.4624,                0.58233,                  1.261,             0.00028063,             0.00028063,             0.00028063
                    237,                0.94379,                0.46694,                0.95181,                0.94485,                0.84831,                0.91954,                0.53807,                 1.4585,                0.58294,                 1.2546,              0.0002765,              0.0002765,              0.0002765
                    238,                0.96395,                0.47812,                0.95721,                0.91731,                0.84228,                 0.9189,                0.53936,                 1.4552,                0.58145,                 1.2581,             0.00027237,             0.00027237,             0.00027237
                    239,                0.95444,                0.47674,                0.95239,                0.90821,                0.85294,                0.92311,                0.55059,                 1.4524,                0.57859,                 1.2609,             0.00026825,             0.00026825,             0.00026825
                    240,                0.94258,                0.47368,                0.96033,                 0.9168,                0.85306,                0.92902,                0.55068,                   1.44,                0.57462,                 1.2547,             0.00026413,             0.00026413,             0.00026413
                    241,                0.94865,                0.47435,                0.95455,                0.89287,                0.87744,                0.93153,                  0.555,                 1.4379,                0.56736,                 1.2517,                0.00026,                0.00026,                0.00026
                    242,                0.94397,                0.47621,                 0.9556,                0.91725,                 0.8626,                0.93271,                0.55757,                 1.4385,                0.56443,                 1.2505,             0.00025587,             0.00025587,             0.00025587
                    243,                0.93765,                0.46587,                0.94961,                0.92712,                0.82918,                0.92838,                0.55517,                 1.4535,                0.57253,                 1.2562,             0.00025175,             0.00025175,             0.00025175
                    244,                0.94752,                0.47322,                0.95562,                0.90913,                0.84452,                 0.9309,                0.55083,                 1.4663,                0.58181,                 1.2696,             0.00024762,             0.00024762,             0.00024762
                    245,                0.94483,                0.47573,                0.95558,                0.91495,                0.84725,                0.92744,                0.55293,                 1.4597,                0.57773,                 1.2675,              0.0002435,              0.0002435,              0.0002435
                    246,                0.93449,                0.47223,                0.95161,                0.92208,                0.84166,                 0.9327,                0.55657,                  1.452,                 0.5765,                 1.2629,             0.00023938,             0.00023938,             0.00023938
                    247,                0.93821,                0.46317,                0.95315,                0.89928,                0.85155,                0.93232,                0.54609,                 1.4502,                0.58045,                 1.2603,             0.00023525,             0.00023525,             0.00023525
                    248,                0.93311,                0.46282,                 0.9485,                0.89748,                0.86555,                0.93445,                0.54498,                 1.4441,                0.57465,                 1.2571,             0.00023112,             0.00023112,             0.00023112
                    249,                 0.9388,                0.47574,                0.94742,                0.88994,                0.86353,                0.92942,                0.54949,                 1.4362,                0.57342,                 1.2549,               0.000227,               0.000227,               0.000227
                    250,                0.91744,                0.46707,                0.94425,                 0.8894,                 0.8564,                0.92805,                0.54902,                 1.4446,                 0.5746,                 1.2581,             0.00022288,             0.00022288,             0.00022288
                    251,                0.92529,                0.46829,                0.95074,                0.89369,                0.85731,                0.92669,                0.54878,                 1.4454,                0.57617,                 1.2654,             0.00021875,             0.00021875,             0.00021875
                    252,                0.91615,                0.46115,                0.94686,                0.89084,                0.86625,                 0.9297,                0.55399,                   1.45,                0.58166,                 1.2688,             0.00021462,             0.00021462,             0.00021462
                    253,                0.91215,                0.46163,                0.93923,                0.89731,                0.85331,                0.92366,                0.56151,                 1.4466,                 0.5768,                 1.2658,              0.0002105,              0.0002105,              0.0002105
                    254,                0.92165,                0.45651,                0.94941,                 0.8863,                0.85701,                0.92231,                0.55576,                 1.4536,                 0.5812,                 1.2713,             0.00020637,             0.00020637,             0.00020637
                    255,                0.92511,                0.45984,                0.94605,                0.89335,                0.84788,                0.92098,                0.55195,                 1.4432,                0.58272,                 1.2657,             0.00020225,             0.00020225,             0.00020225
                    256,                0.90885,                0.45385,                0.94172,                0.89639,                0.85367,                0.92672,                0.55261,                 1.4439,                0.57868,                 1.2626,             0.00019813,             0.00019813,             0.00019813
                    257,                0.92527,                0.46406,                0.94247,                0.92103,                0.83319,                0.92847,                0.56154,                 1.4445,                0.56858,                 1.2599,               0.000194,               0.000194,               0.000194
                    258,                0.91243,                0.45642,                0.93574,                0.90035,                0.85164,                 0.9296,                0.55732,                 1.4421,                0.57142,                 1.2598,             0.00018987,             0.00018987,             0.00018987
                    259,                0.89725,                0.45574,                0.94101,                0.89868,                0.85787,                0.92367,                0.56217,                 1.4373,                0.56968,                 1.2617,             0.00018575,             0.00018575,             0.00018575
                    260,                0.91648,                0.45745,                0.93879,                0.88543,                0.88356,                 0.9272,                0.56482,                 1.4452,                0.57075,                 1.2696,             0.00018163,             0.00018163,             0.00018163
                    261,                0.89682,                0.45209,                0.93422,                0.88254,                 0.8922,                0.92999,                0.56386,                 1.4387,                0.56901,                 1.2676,              0.0001775,              0.0001775,              0.0001775
                    262,                0.90066,                0.44767,                0.93793,                0.87909,                0.89712,                0.93381,                 0.5676,                 1.4289,                0.56555,                 1.2633,             0.00017338,             0.00017338,             0.00017338
                    263,                0.89546,                0.45219,                0.93741,                0.90599,                0.85281,                0.93275,                0.56074,                 1.4275,                 0.5689,                 1.2572,             0.00016925,             0.00016925,             0.00016925
                    264,                0.90626,                0.45035,                0.94344,                0.90096,                0.85087,                0.92915,                0.55936,                 1.4291,                0.56769,                 1.2567,             0.00016512,             0.00016512,             0.00016512
                    265,                 0.8771,                0.44079,                0.93551,                0.90356,                0.86195,                0.93473,                0.56092,                 1.4304,                 0.5676,                  1.257,               0.000161,               0.000161,               0.000161
                    266,                0.88745,                0.44852,                 0.9348,                0.88844,                0.89705,                0.93712,                 0.5633,                 1.4315,                0.57227,                 1.2619,             0.00015688,             0.00015688,             0.00015688
                    267,                0.88188,                 0.4437,                0.93403,                 0.8828,                0.89989,                0.93219,                0.56492,                 1.4272,                0.57136,                 1.2618,             0.00015275,             0.00015275,             0.00015275
                    268,                0.88825,                0.44419,                0.93611,                0.88068,                0.90105,                0.93314,                0.57014,                 1.4226,                0.56095,                 1.2582,             0.00014862,             0.00014862,             0.00014862
                    269,                0.88593,                0.45075,                0.93354,                0.87278,                0.89731,                0.92757,                0.56368,                 1.4212,                0.56038,                 1.2584,              0.0001445,              0.0001445,              0.0001445
                    270,                0.88126,                0.44322,                0.93947,                0.85555,                 0.9101,                 0.9261,                0.56981,                 1.4193,                0.55892,                 1.2584,             0.00014038,             0.00014038,             0.00014038
                    271,                0.89179,                0.44552,                0.93967,                0.87355,                0.88626,                0.92563,                0.57036,                 1.4189,                0.56024,                 1.2566,             0.00013625,             0.00013625,             0.00013625
                    272,                0.88228,                0.43976,                0.93554,                0.89039,                0.88486,                0.93061,                0.57306,                 1.4212,                0.56496,                  1.256,             0.00013212,             0.00013212,             0.00013212
                    273,                0.86354,                0.43755,                0.92013,                0.91706,                0.85947,                0.93335,                0.57691,                 1.4204,                0.56317,                  1.255,               0.000128,               0.000128,               0.000128
                    274,                0.87657,                0.43967,                0.93175,                 0.8868,                0.89646,                0.93375,                0.57313,                 1.4246,                0.56146,                  1.263,             0.00012387,             0.00012387,             0.00012387
                    275,                0.88015,                0.44201,                0.93082,                0.88507,                0.89141,                0.93139,                0.57133,                 1.4244,                0.56262,                 1.2627,             0.00011975,             0.00011975,             0.00011975
                    276,                0.86235,                0.43268,                0.92153,                 0.8665,                0.91035,                  0.931,                0.56522,                  1.425,                0.55948,                 1.2597,             0.00011563,             0.00011563,             0.00011563
                    277,                0.85621,                0.43682,                0.92651,                0.86938,                0.91607,                0.93317,                0.56854,                 1.4262,                0.55837,                 1.2594,              0.0001115,              0.0001115,              0.0001115
                    278,                0.86567,                0.43951,                0.92645,                0.86876,                0.91085,                0.93208,                0.56327,                 1.4242,                0.55661,                 1.2592,             0.00010737,             0.00010737,             0.00010737
                    279,                 0.8607,                0.43257,                 0.9271,                0.87499,                0.91094,                0.93037,                0.55853,                 1.4277,                0.56072,                 1.2623,             0.00010325,             0.00010325,             0.00010325
                    280,                0.87115,                0.43919,                0.93111,                0.87444,                0.90131,                0.93008,                0.56551,                 1.4255,                0.55538,                 1.2599,             9.9125e-05,             9.9125e-05,             9.9125e-05
                    281,                0.86943,                0.44271,                0.92882,                 0.8633,                0.91753,                0.92935,                0.56983,                 1.4183,                0.55533,                 1.2574,                9.5e-05,                9.5e-05,                9.5e-05
                    282,                0.86871,                0.43981,                0.93178,                 0.8771,                0.91114,                0.93242,                0.56681,                 1.4179,                0.55425,                 1.2578,             9.0875e-05,             9.0875e-05,             9.0875e-05
                    283,                 0.8619,                0.44133,                0.92867,                0.89715,                0.89064,                0.93601,                0.57577,                 1.4151,                0.55631,                 1.2556,              8.675e-05,              8.675e-05,              8.675e-05
                    284,                0.86122,                0.43767,                0.92736,                0.88163,                0.89419,                 0.9319,                0.56752,                 1.4166,                0.56127,                  1.258,             8.2625e-05,             8.2625e-05,             8.2625e-05
                    285,                0.85214,                0.43156,                0.92163,                0.86904,                 0.9216,                0.93266,                 0.5615,                 1.4121,                0.55828,                 1.2543,               7.85e-05,               7.85e-05,               7.85e-05
                    286,                0.86501,                0.43057,                0.92747,                0.86896,                0.90633,                0.92843,                0.56106,                  1.416,                0.55578,                 1.2579,             7.4375e-05,             7.4375e-05,             7.4375e-05
                    287,                0.85389,                 0.4327,                0.92623,                0.87141,                0.91409,                0.93226,                0.55911,                 1.4153,                0.55919,                  1.259,              7.025e-05,              7.025e-05,              7.025e-05
                    288,                0.84713,                 0.4262,                0.92422,                0.86515,                 0.9137,                 0.9293,                0.56093,                 1.4123,                0.56378,                  1.258,             6.6125e-05,             6.6125e-05,             6.6125e-05
                    289,                0.85557,                0.43231,                0.93204,                0.86447,                0.91079,                0.92791,                0.56344,                 1.4121,                0.56238,                 1.2596,                6.2e-05,                6.2e-05,                6.2e-05
                    290,                0.84651,                0.43124,                0.92822,                0.87081,                0.90965,                0.92928,                0.56758,                 1.4108,                 0.5654,                 1.2576,             5.7875e-05,             5.7875e-05,             5.7875e-05
                    291,                 0.8552,                0.43113,                0.92807,                0.87747,                0.89579,                 0.9308,                0.56483,                  1.413,                0.56645,                 1.2584,              5.375e-05,              5.375e-05,              5.375e-05
                    292,                0.84864,                0.43909,                0.92853,                0.86861,                0.89997,                0.92601,                0.56732,                 1.4138,                0.56741,                 1.2595,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    293,                0.83481,                 0.4244,                0.91772,                0.89499,                0.87832,                0.92797,                0.56262,                  1.413,                0.56839,                 1.2597,               4.55e-05,               4.55e-05,               4.55e-05
                    294,                0.84203,                0.42968,                0.92017,                0.89622,                0.87931,                0.92769,                0.55954,                 1.4124,                 0.5664,                 1.2598,             4.1375e-05,             4.1375e-05,             4.1375e-05
                    295,                0.84682,                0.42233,                0.92113,                0.88022,                0.89591,                0.92684,                0.56127,                 1.4117,                0.56486,                 1.2599,              3.725e-05,              3.725e-05,              3.725e-05
                    296,                0.85054,                0.42733,                0.91944,                0.88117,                0.89475,                0.92711,                0.56237,                 1.4122,                0.56644,                 1.2599,             3.3125e-05,             3.3125e-05,             3.3125e-05
                    297,                 0.8418,                 0.4222,                0.91774,                0.88241,                0.89146,                0.92701,                0.56453,                 1.4108,                0.56349,                 1.2591,                2.9e-05,                2.9e-05,                2.9e-05
                    298,                0.85781,                0.43079,                0.92406,                0.88908,                0.89419,                0.93171,                0.56197,                 1.4122,                 0.5635,                 1.2609,             2.4875e-05,             2.4875e-05,             2.4875e-05
                    299,                0.84585,                0.42582,                0.92092,                0.87251,                0.90565,                0.92717,                0.55976,                 1.4116,                0.56305,                 1.2616,              2.075e-05,              2.075e-05,              2.075e-05
